collision_id,crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code1,vehicle_type_code2
4455912,2021-09-11T00:00:00.000,7:58,QUEENS,11367.0,40.72609,-73.830154,,70-07 PARK DRIVE EAST,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Following Too Closely,Sedan,Sedan
4455917,2021-09-11T00:00:00.000,16:25,MANHATTAN,10022.0,40.76092,-73.96704,3 AVENUE,,EAST 58 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Taxi,Box Truck
4136992,2019-05-21T00:00:00.000,22:50,BROOKLYN,11201.0,40.69754,-73.98312,GOLD STREET,,CONCORD STREET,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,�MBU,Taxi
4395664,2021-02-26T00:00:00.000,14:50,BRONX,10461.0,40.843464,-73.836,,2819 MIDDLETOWN ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Station Wagon/Sport Utility Vehicle,
4397513,2021-03-09T00:00:00.000,11:00,,,40.692547,-73.990974,COURT STREET,,JORALEMON STREET,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Pick-up Truck,Sedan
4403773,2021-03-31T00:00:00.000,22:20,BROOKLYN,11234.0,40.626457,-73.918,RALPH AVENUE,,AVENUE K,1,0,0,0,0,0,1,0,Driver Inexperience,Unspecified,Sedan,Sedan
4405244,2021-04-06T00:00:00.000,22:58,STATEN ISLAND,10312.0,40.526894,-74.16728,BARCLAY AVENUE,,HYLAN BOULEVARD,7,0,0,0,0,0,7,0,Failure to Yield Right-of-Way,Unsafe Speed,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4405914,2021-04-09T00:00:00.000,14:45,,,40.840775,-73.87246,BRONX RIVER PARKWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4407366,2021-04-14T00:00:00.000,11:00,,,40.694035,-73.72679,CROSS ISLAND PARKWAY,,,1,0,0,0,0,0,1,0,Brakes Defective,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4407778,2021-04-15T00:00:00.000,13:30,BRONX,10461.0,40.857365,-73.84657,,1400 PELHAM PARKWAY SOUTH,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,Sedan,Ambulance
4407461,2021-04-14T00:00:00.000,14:40,,,40.698807,-73.91837,MYRTLE AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Box Truck,Sedan
4407407,2021-04-14T00:00:00.000,21:43,QUEENS,11429.0,40.71402,-73.74827,,211-20 99 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,Station Wagon/Sport Utility Vehicle,
4407900,2021-04-16T00:00:00.000,17:40,BRONX,10474.0,40.815,-73.89402,GARRISON AVENUE,,LONGWOOD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Sedan
4407760,2021-04-16T00:00:00.000,0:50,,,40.55079,-74.20098,HUGUENOT AVENUE,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4407746,2021-04-15T00:00:00.000,10:30,BROOKLYN,11207.0,40.655903,-73.89817,,319 DE WITT AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4408143,2021-04-16T00:00:00.000,16:35,BRONX,10475.0,40.890076,-73.819855,BOSTON ROAD,,ROPES AVENUE,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4407638,2021-04-15T00:00:00.000,17:20,BROOKLYN,11236.0,40.650402,-73.89422,GLENWOOD ROAD,,EAST 108 STREET,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,Sedan,Van
4407958,2021-04-16T00:00:00.000,21:20,MANHATTAN,10025.0,40.79335,-73.97275,WEST 94 STREET,,BROADWAY,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Sedan,
4407885,2021-04-16T00:00:00.000,17:20,MANHATTAN,10012.0,40.72538,-74.00011,PRINCE STREET,,WOOSTER STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Sedan
4407616,2021-04-15T00:00:00.000,14:30,QUEENS,11377.0,40.75184,-73.90358,BROADWAY,,58 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Sedan,Station Wagon/Sport Utility Vehicle
4456355,2021-09-11T00:00:00.000,22:57,,,40.755516,-73.961105,FDR DRIVE,,,2,0,0,0,0,0,2,0,Unsafe Speed,Unspecified,PK,Sedan
